SZd-ID;Datierung;Sterbejahr;epidat;epidat_;Weblink
wld-01.021.009-00;;;wdf-211;wdf-0211;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-211
wld-01.021.010-00;1835;1835;wdf-212;wdf-0212;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-212
wld-01.021.011-00;1836;1836;wdf-213;wdf-0213;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-213
wld-01.021.012-00;1834;1834;wdf-214;wdf-0214;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-214
wld-01.021.013-00;1829;1829;wdf-215;wdf-0215;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-215
wld-01.021.014-00;;;wdf-216;wdf-0216;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-216
wld-01.021.015-00;1835;1835;wdf-217;wdf-0217;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-217
wld-01.022.001-00;;;wdf-194;wdf-0194;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-194
wld-01.022.002-00;;;wdf-195;wdf-0195;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-195
wld-01.022.003-00;;;wdf-196;wdf-0196;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-196
wld-01.022.004-00;1837;1837;wdf-197;wdf-0197;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-197
wld-01.022.005-00;1837;1837;wdf-198;wdf-0198;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-198
wld-01.022.005-01;1836;1836;wdf-199;wdf-0199;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-199
wld-01.022.005-02;1833;1832/33?;wdf-200;wdf-0200;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-200
wld-01.022.006-00;;;wdf-201;wdf-0201;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-201
wld-01.023.001-00;1905;1905;wdf-136;wdf-0136;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-136
wld-01.023.002-00;1906;1906?;wdf-137;wdf-0137;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-137
wld-01.023.003-00;1907;1907;wdf-138;wdf-0138;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-138
wld-01.023.004-00;1907;1907;wdf-139;wdf-0139;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-139
wld-01.024.001-00;1915;1915;wdf-102;wdf-0102;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-102
wld-01.024.002-00;1914;1914;wdf-103;wdf-0103;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-103
wld-01.024.003-00;1912;1912;wdf-104;wdf-0104;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-104
wld-01.024.004-00;1909;1909;wdf-105;wdf-0105;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-105
wld-01.025.001-00;1920;1920;wdf-076;wdf-0076;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-076
wld-01.025.002-00;1920;1920;wdf-077;wdf-0077;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-077
wld-01.025.003-00;1919;1919;wdf-078;wdf-0078;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-078
wld-01.025.004-00;1919;1919;wdf-079;wdf-0079;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-079
wld-01.026.001-00;1777;1777;wdf-479;wdf-0479;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-479
wld-01.026.002-00;1775;1775;wdf-482;wdf-0482;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-482
wld-02.001.046-00;;;wdf-799;wdf-0799;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-799
wld-02.001.047-00;1758;1758;wdf-849;wdf-0849;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-849
wld-02.002.010-00;1798;1798;wdf-835;wdf-0835;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-835
wld-02.002.011-00;1794;1794;wdf-837;wdf-0837;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-837
wld-02.002.012-00;1798;1798;wdf-839;wdf-0839;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-839
wld-02.002.013-00;1798;1798;wdf-841;wdf-0841;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-841
wld-02.002.014-00;1798;1797/98;wdf-843;wdf-0843;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-843
wld-02.002.015-00;1798;1798;wdf-845;wdf-0845;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-845
wld-02.002.015-01;1798;1797/98;wdf-843;siehe oben, wdf-0843;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-843
wld-02.002.016-00;1798;1797/98;wdf-847;wdf-0847;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-847
wld-02.002.017-00;;;wdf-916;wdf-0916;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-916
wld-02.002.018-00;1794;1794;wdf-918;wdf-0918;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-918
wld-02.003.005-00;;;wdf-882;wdf-0882;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-882
wld-02.003.006-00;1815;1815;wdf-883;wdf-0883;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-883
wld-02.003.007-00;1815;1815;wdf-884;wdf-0884;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-884
wld-02.003.008-00;1814;1814;wdf-885;wdf-0885;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-885
wld-02.003.009-00;1815;1815;wdf-886;wdf-0886;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-886
wld-02.003.009-00;1816;1816;wdf-886;wdf-0886;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-886
wld-02.003.010-00;1832;1832;wdf-888;wdf-0888;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-888
wld-02.004.009-00;1837;1837;wdf-880;wdf-0880;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-880
wld-02.004.010-00;;;wdf-881;wdf-0881;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-881
wld-02.004.011-00;;;wdf-908;wdf-0908;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-908
wld-02.004.012-00;1813;1813;wdf-906;wdf-0906;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-906
wld-02.004.013-00;1814;1814?;wdf-904;wdf-0904;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-904
